nohup: ignoring input
Tue May  5 04:15:37 PM CDT 2026 - Starting alignment: sample-11-female
[M::mm_idx_gen::34.274*1.56] collected minimizers
[M::mm_idx_gen::36.339*2.19] sorted minimizers
[M::main::36.339*2.19] loaded/built the index for 195 target sequence(s)
[M::mm_mapopt_update::37.486*2.15] mid_occ = 694
[M::mm_idx_stat] kmer size: 15; skip: 10; is_hpc: 0; #seq: 195
[M::mm_idx_stat::38.061*2.13] distinct minimizers: 100167746 (38.80% are singletons); average occurrences: 5.519; average spacing: 5.607; total length: 3099922541
[M::worker_pipeline::103.324*9.42] mapped 99933 sequences
[M::worker_pipeline::157.782*11.28] mapped 94941 sequences
[M::worker_pipeline::211.257*12.15] mapped 93237 sequences
[M::worker_pipeline::265.418*12.71] mapped 91632 sequences
[M::worker_pipeline::320.181*13.02] mapped 89409 sequences
[M::worker_pipeline::407.710*13.40] mapped 77873 sequences
[M::worker_pipeline::433.997*13.48] mapped 77659 sequences
[M::worker_pipeline::492.524*13.63] mapped 77822 sequences
[M::worker_pipeline::550.017*13.75] mapped 77614 sequences
[M::worker_pipeline::605.332*13.85] mapped 78347 sequences
[M::worker_pipeline::663.473*13.94] mapped 75584 sequences
[M::worker_pipeline::751.730*14.04] mapped 78763 sequences
[M::worker_pipeline::778.214*14.07] mapped 73274 sequences
[M::worker_pipeline::834.868*14.13] mapped 77811 sequences
[M::worker_pipeline::890.773*14.17] mapped 77686 sequences
[M::worker_pipeline::946.908*14.22] mapped 72700 sequences
[M::worker_pipeline::1032.494*14.27] mapped 77329 sequences
[M::worker_pipeline::1058.513*14.28] mapped 79757 sequences
[M::worker_pipeline::1114.129*14.31] mapped 74314 sequences
[M::worker_pipeline::1170.927*14.33] mapped 77751 sequences
[M::worker_pipeline::1228.185*14.36] mapped 77697 sequences
[M::worker_pipeline::1288.406*14.37] mapped 72611 sequences
[M::worker_pipeline::1374.692*14.39] mapped 77742 sequences
[M::worker_pipeline::1400.298*14.40] mapped 77519 sequences
[M::worker_pipeline::1457.596*14.42] mapped 78680 sequences
[M::worker_pipeline::1513.337*14.44] mapped 77714 sequences
[M::worker_pipeline::1568.015*14.45] mapped 77772 sequences
[M::worker_pipeline::1623.736*14.46] mapped 78615 sequences
[M::worker_pipeline::1714.660*14.48] mapped 77765 sequences
[M::worker_pipeline::1737.830*14.49] mapped 77315 sequences
[M::worker_pipeline::1797.696*14.49] mapped 74385 sequences
[M::worker_pipeline::1853.799*14.50] mapped 77336 sequences
[M::worker_pipeline::1910.780*14.51] mapped 77830 sequences
[M::worker_pipeline::1998.842*14.53] mapped 77061 sequences
[M::worker_pipeline::2025.344*14.54] mapped 77790 sequences
[M::worker_pipeline::2084.186*14.53] mapped 73887 sequences
[M::worker_pipeline::2143.122*14.54] mapped 77760 sequences
[M::worker_pipeline::2205.289*14.55] mapped 77714 sequences
[M::worker_pipeline::2261.421*14.56] mapped 77069 sequences
[M::worker_pipeline::2348.197*14.57] mapped 77407 sequences
[M::worker_pipeline::2386.325*14.56] mapped 75732 sequences
[M::worker_pipeline::2445.892*14.56] mapped 76310 sequences
[M::worker_pipeline::2497.852*14.57] mapped 78574 sequences
[M::worker_pipeline::2554.212*14.57] mapped 76769 sequences
[M::worker_pipeline::2619.541*14.58] mapped 75005 sequences
[M::worker_pipeline::2703.143*14.59] mapped 88436 sequences
[M::worker_pipeline::2723.802*14.59] mapped 87209 sequences
[M::worker_pipeline::2784.860*14.60] mapped 86166 sequences
[M::worker_pipeline::2840.579*14.60] mapped 72168 sequences
[M::worker_pipeline::2893.333*14.60] mapped 85222 sequences
[M::worker_pipeline::2979.181*14.61] mapped 81029 sequences
[M::worker_pipeline::3007.883*14.61] mapped 77455 sequences
[M::worker_pipeline::3069.469*14.62] mapped 78302 sequences
[M::worker_pipeline::3124.011*14.62] mapped 78267 sequences
[M::worker_pipeline::3180.732*14.62] mapped 76248 sequences
[M::worker_pipeline::3235.914*14.63] mapped 78599 sequences
[M::worker_pipeline::3340.232*14.62] mapped 79012 sequences
[M::worker_pipeline::3349.243*14.60] mapped 82894 sequences
[M::worker_pipeline::3410.643*14.60] mapped 78231 sequences
[M::worker_pipeline::3466.850*14.60] mapped 76671 sequences
[M::worker_pipeline::3526.656*14.61] mapped 74446 sequences
[M::worker_pipeline::3634.290*14.59] mapped 78745 sequences
[M::worker_pipeline::3643.158*14.57] mapped 84835 sequences
[M::worker_pipeline::3703.741*14.57] mapped 79483 sequences
[M::worker_pipeline::3754.793*14.58] mapped 78229 sequences
[M::worker_pipeline::3811.492*14.58] mapped 78286 sequences
[M::worker_pipeline::3867.164*14.58] mapped 84178 sequences
[M::worker_pipeline::3969.329*14.59] mapped 79301 sequences
[M::worker_pipeline::3978.076*14.57] mapped 75887 sequences
[M::worker_pipeline::4039.914*14.57] mapped 77301 sequences
[M::worker_pipeline::4095.775*14.58] mapped 89331 sequences
[M::worker_pipeline::4148.817*14.58] mapped 82012 sequences
[M::worker_pipeline::4204.209*14.58] mapped 79332 sequences
[M::worker_pipeline::4297.826*14.58] mapped 77427 sequences
[M::worker_pipeline::4319.503*14.58] mapped 92118 sequences
[M::worker_pipeline::4371.291*14.58] mapped 81927 sequences
[M::worker_pipeline::4429.962*14.59] mapped 79197 sequences
[M::worker_pipeline::4484.579*14.59] mapped 82537 sequences
[M::worker_pipeline::4565.665*14.60] mapped 84388 sequences
[M::worker_pipeline::4589.869*14.60] mapped 84228 sequences
[M::worker_pipeline::4645.032*14.60] mapped 86907 sequences
[M::worker_pipeline::4699.894*14.60] mapped 83534 sequences
[M::worker_pipeline::4753.403*14.60] mapped 84669 sequences
[M::worker_pipeline::4807.798*14.61] mapped 96845 sequences
[M::worker_pipeline::4892.903*14.61] mapped 81563 sequences
[M::worker_pipeline::4920.917*14.61] mapped 75887 sequences
[M::worker_pipeline::4974.816*14.61] mapped 93700 sequences
[M::worker_pipeline::5031.113*14.61] mapped 85954 sequences
[M::worker_pipeline::5089.587*14.62] mapped 77675 sequences
[M::worker_pipeline::5174.981*14.62] mapped 94980 sequences
[M::worker_pipeline::5199.727*14.62] mapped 90342 sequences
[M::worker_pipeline::5254.565*14.62] mapped 80964 sequences
[M::worker_pipeline::5308.862*14.63] mapped 106475 sequences
[M::worker_pipeline::5361.605*14.63] mapped 86674 sequences
[M::worker_pipeline::5416.981*14.63] mapped 83796 sequences
[M::worker_pipeline::5503.655*14.63] mapped 98231 sequences
[M::worker_pipeline::5531.250*14.63] mapped 87788 sequences
[M::worker_pipeline::5582.363*14.63] mapped 100905 sequences
[M::worker_pipeline::5634.928*14.63] mapped 96300 sequences
[M::worker_pipeline::5690.532*14.64] mapped 80804 sequences
[M::worker_pipeline::5743.097*14.64] mapped 111063 sequences
[M::worker_pipeline::5829.114*14.64] mapped 76552 sequences
[M::worker_pipeline::5854.595*14.64] mapped 76991 sequences
[M::worker_pipeline::5907.577*14.65] mapped 81624 sequences
[M::worker_pipeline::5960.678*14.65] mapped 81393 sequences
[M::worker_pipeline::6013.004*14.65] mapped 83638 sequences
[M::worker_pipeline::6097.476*14.65] mapped 86564 sequences
[M::worker_pipeline::6124.582*14.65] mapped 95005 sequences
[M::worker_pipeline::6175.494*14.66] mapped 101190 sequences
[M::worker_pipeline::6230.803*14.66] mapped 114541 sequences
[M::worker_pipeline::6283.731*14.66] mapped 99902 sequences
[M::worker_pipeline::6341.943*14.66] mapped 113410 sequences
[M::worker_pipeline::6424.300*14.66] mapped 90168 sequences
[M::worker_pipeline::6446.996*14.66] mapped 121679 sequences
