nohup: ignoring input
Tue May  5 04:06:05 PM CDT 2026 - Starting alignment: sample-11-female
[M::mm_idx_gen::33.301*1.57] collected minimizers
[M::mm_idx_gen::35.380*2.23] sorted minimizers
[M::main::35.380*2.23] loaded/built the index for 195 target sequence(s)
[M::mm_mapopt_update::36.479*2.19] mid_occ = 694
[M::mm_idx_stat] kmer size: 15; skip: 10; is_hpc: 0; #seq: 195
[M::mm_idx_stat::37.047*2.18] distinct minimizers: 100167746 (38.80% are singletons); average occurrences: 5.519; average spacing: 5.607; total length: 3099922541
[M::worker_pipeline::103.237*9.27] mapped 99933 sequences
[M::worker_pipeline::156.385*11.21] mapped 94941 sequences
[M::worker_pipeline::209.227*12.11] mapped 93237 sequences
[M::worker_pipeline::261.525*12.67] mapped 91632 sequences
[M::worker_pipeline::316.256*13.00] mapped 89409 sequences
[M::worker_pipeline::399.039*13.39] mapped 77873 sequences
[M::worker_pipeline::426.274*13.47] mapped 77659 sequences
[M::worker_pipeline::482.809*13.63] mapped 77822 sequences
[M::worker_pipeline::540.515*13.76] mapped 77614 sequences
[M::worker_pipeline::597.660*13.86] mapped 78347 sequences
[M::worker_pipeline::657.170*13.96] mapped 75584 sequences
[M::worker_pipeline::743.373*14.06] mapped 78763 sequences
[M::worker_pipeline::777.015*14.10] mapped 73274 sequences
[M::worker_pipeline::835.092*14.16] mapped 77811 sequences
[M::worker_pipeline::893.588*14.21] mapped 77686 sequences
[M::worker_pipeline::952.689*14.26] mapped 72700 sequences
[M::worker_pipeline::1010.145*14.30] mapped 77329 sequences
[M::worker_pipeline::1098.883*14.35] mapped 79757 sequences
[M::worker_pipeline::1124.938*14.36] mapped 74314 sequences
[M::worker_pipeline::1182.937*14.38] mapped 77751 sequences
[M::worker_pipeline::1241.862*14.41] mapped 77697 sequences
[M::worker_pipeline::1302.503*14.43] mapped 72611 sequences
[M::worker_pipeline::1401.688*14.45] mapped 77742 sequences
[M::worker_pipeline::1418.496*14.42] mapped 77519 sequences
[M::worker_pipeline::1483.559*14.44] mapped 78680 sequences
[M::worker_pipeline::1541.234*14.46] mapped 77714 sequences
[M::worker_pipeline::1598.465*14.47] mapped 77772 sequences
[M::worker_pipeline::1656.628*14.48] mapped 78615 sequences
[M::worker_pipeline::1744.403*14.51] mapped 77765 sequences
[M::worker_pipeline::1773.304*14.51] mapped 77315 sequences
[M::worker_pipeline::1836.034*14.52] mapped 74385 sequences
[M::worker_pipeline::1893.971*14.53] mapped 77336 sequences
[M::worker_pipeline::1952.441*14.54] mapped 77830 sequences
[M::worker_pipeline::2012.283*14.56] mapped 77061 sequences
[M::worker_pipeline::2101.380*14.57] mapped 77790 sequences
[M::worker_pipeline::2131.394*14.56] mapped 73887 sequences
[M::worker_pipeline::2192.840*14.57] mapped 77760 sequences
[M::worker_pipeline::2251.232*14.58] mapped 77714 sequences
[M::worker_pipeline::2310.518*14.59] mapped 77069 sequences
[M::worker_pipeline::2366.708*14.59] mapped 77407 sequences
[M::worker_pipeline::2458.362*14.59] mapped 75732 sequences
[M::worker_pipeline::2489.867*14.59] mapped 76310 sequences
[M::worker_pipeline::2548.897*14.60] mapped 78574 sequences
[M::worker_pipeline::2608.160*14.60] mapped 76769 sequences
[M::worker_pipeline::2669.092*14.61] mapped 75005 sequences
[M::worker_pipeline::2763.707*14.62] mapped 88436 sequences
[M::worker_pipeline::2787.941*14.62] mapped 87209 sequences
[M::worker_pipeline::2848.468*14.62] mapped 86166 sequences
[M::worker_pipeline::2909.707*14.63] mapped 72168 sequences
[M::worker_pipeline::2964.841*14.64] mapped 85222 sequences
[M::worker_pipeline::3026.534*14.64] mapped 81029 sequences
[M::worker_pipeline::3111.858*14.64] mapped 77455 sequences
[M::worker_pipeline::3140.236*14.65] mapped 78302 sequences
[M::worker_pipeline::3199.408*14.65] mapped 78267 sequences
[M::worker_pipeline::3256.861*14.66] mapped 76248 sequences
[M::worker_pipeline::3319.929*14.66] mapped 78599 sequences
