nohup: ignoring input
Tue May  5 03:17:52 PM CDT 2026 - Starting alignment: sample-11-female
[M::mm_idx_gen::32.019*1.58] collected minimizers
[M::mm_idx_gen::33.974*2.30] sorted minimizers
[M::main::33.974*2.30] loaded/built the index for 195 target sequence(s)
[M::mm_mapopt_update::35.061*2.26] mid_occ = 694
[M::mm_idx_stat] kmer size: 15; skip: 10; is_hpc: 0; #seq: 195
[M::mm_idx_stat::35.615*2.24] distinct minimizers: 100167746 (38.80% are singletons); average occurrences: 5.519; average spacing: 5.607; total length: 3099922541
[M::worker_pipeline::84.026*10.32] mapped 99933 sequences
[M::worker_pipeline::120.945*13.09] mapped 94941 sequences
[M::worker_pipeline::156.036*14.57] mapped 93237 sequences
[M::worker_pipeline::191.094*15.53] mapped 91632 sequences
[M::worker_pipeline::228.801*16.10] mapped 89409 sequences
[M::worker_pipeline::292.940*16.91] mapped 77873 sequences
[M::worker_pipeline::303.442*16.84] mapped 77659 sequences
[M::worker_pipeline::344.306*17.17] mapped 77822 sequences
[M::worker_pipeline::382.921*17.41] mapped 77614 sequences
[M::worker_pipeline::419.640*17.63] mapped 78347 sequences
[M::worker_pipeline::458.560*17.80] mapped 75584 sequences
[M::worker_pipeline::522.857*18.04] mapped 78763 sequences
[M::worker_pipeline::534.796*18.01] mapped 73274 sequences
[M::worker_pipeline::574.249*18.14] mapped 77811 sequences
[M::worker_pipeline::611.498*18.23] mapped 77686 sequences
[M::worker_pipeline::649.940*18.32] mapped 72700 sequences
[M::worker_pipeline::687.373*18.39] mapped 77329 sequences
[M::worker_pipeline::752.292*18.50] mapped 79757 sequences
[M::worker_pipeline::761.439*18.42] mapped 74314 sequences
[M::worker_pipeline::805.642*18.42] mapped 77751 sequences
[M::worker_pipeline::843.133*18.49] mapped 77697 sequences
[M::worker_pipeline::883.012*18.53] mapped 72611 sequences
[M::worker_pipeline::920.288*18.58] mapped 77742 sequences
[M::worker_pipeline::985.490*18.66] mapped 77519 sequences
[M::worker_pipeline::995.581*18.61] mapped 78680 sequences
[M::worker_pipeline::1038.502*18.61] mapped 77714 sequences
[M::worker_pipeline::1075.271*18.64] mapped 77772 sequences
[M::worker_pipeline::1112.704*18.67] mapped 78615 sequences
[M::worker_pipeline::1150.945*18.70] mapped 77765 sequences
[M::worker_pipeline::1219.442*18.76] mapped 77315 sequences
[M::worker_pipeline::1231.436*18.73] mapped 74385 sequences
[M::worker_pipeline::1270.716*18.76] mapped 77336 sequences
[M::worker_pipeline::1308.045*18.79] mapped 77830 sequences
[M::worker_pipeline::1346.737*18.82] mapped 77061 sequences
[M::worker_pipeline::1411.755*18.86] mapped 77790 sequences
[M::worker_pipeline::1423.544*18.82] mapped 73887 sequences
[M::worker_pipeline::1466.302*18.85] mapped 77760 sequences
[M::worker_pipeline::1503.641*18.87] mapped 77714 sequences
[M::worker_pipeline::1542.499*18.89] mapped 77069 sequences
