#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
chr1	1	248956422	134803	224842963	90.3142	4.68259	35.3	53.8
chr2	1	242193529	129243	234348839	96.761	4.71021	35.1	57.6
chr3	1	198295559	103770	192665959	97.161	4.6488	35.2	58.3
chr4	1	190214555	106745	185013608	97.2657	5.09051	35.2	53.4
chr5	1	181538259	93369	174459800	96.1008	4.60004	35.1	57.5
chr6	1	170805979	90694	166198240	97.3024	4.72997	35.1	57.5
chr7	1	159345973	83962	155257981	97.4345	4.70648	35.1	56.9
chr8	1	145138636	76095	141109459	97.2239	4.67155	35	57.9
chr9	1	138394717	64236	116454217	84.1464	4.06257	35	56.4
chr10	1	133797422	73797	129648456	96.8991	4.72237	35	56.9
chr11	1	135086622	71787	131384119	97.2592	4.65402	34.9	57.7
chr12	1	133275309	70504	130120088	97.6326	4.70313	35.1	57.7
chr13	1	114364328	51111	94965259	83.0375	4.04764	35.2	56.8
chr14	1	107043718	47068	86438410	80.7506	3.82661	35	58.6
chr15	1	101991189	45072	81291275	79.7042	3.82948	35	56.6
chr16	1	90338345	49362	79651030	88.1697	4.58484	34.8	54.3
chr17	1	83257441	47029	79653748	95.6716	4.68539	35	55.2
chr18	1	80373285	41313	76815994	95.574	4.53085	35.1	56
chr19	1	58617616	33223	54773130	93.4414	4.56754	34.9	57.5
chr20	1	64444167	37980	61737210	95.7995	5.01585	34.9	53.9
chr21	1	46709983	23726	36554123	78.2576	4.35496	34.7	49.6
chr22	1	50818468	25701	35891038	70.626	3.8287	35	50.3
chrX	1	156040895	41112	131294252	84.1409	2.36165	35.1	56.7
chrY	1	57227415	9712	20432261	35.7036	1.46911	34.5	32.1
chrM	1	16569	424	16569	100	52.973	31.1	57.5
chr1_KI270706v1_random	1	175055	100	172836	98.7324	5.28123	33.1	48.6
chr1_KI270707v1_random	1	32032	13	29738	92.8384	2.30363	36.1	43.5
chr1_KI270708v1_random	1	127682	26	83649	65.5135	1.75283	33.4	41
chr1_KI270709v1_random	1	66860	585	66860	100	59.2827	36.5	31.5
chr1_KI270710v1_random	1	40176	17	40134	99.8955	3.39247	35.9	37.9
chr1_KI270711v1_random	1	42210	30	41602	98.5596	4.52009	35.8	47.4
chr1_KI270712v1_random	1	176043	106	160544	91.1959	3.49849	34.6	34.4
chr1_KI270713v1_random	1	40745	60	38229	93.825	8.9531	35.4	50.2
chr1_KI270714v1_random	1	41717	25	40931	98.1159	5.97056	32.2	53.5
chr2_KI270715v1_random	1	161471	66	145495	90.106	3.93824	36.9	6.92
chr2_KI270716v1_random	1	153799	155	151757	98.6723	10.9312	36.8	4.79
chr3_GL000221v1_random	1	155397	167	145119	93.386	9.95289	35.8	19.5
chr4_GL000008v2_random	1	209709	348	209468	99.8851	13.9199	34.1	38.4
chr5_GL000208v1_random	1	92689	118	92683	99.9935	8.8791	37	40.5
chr9_KI270717v1_random	1	40062	19	37084	92.5665	2.60042	30.9	31.8
chr9_KI270718v1_random	1	38054	46	33945	89.2022	7.7841	35.6	27.1
chr9_KI270719v1_random	1	176845	96	157960	89.3212	4.32432	35.7	38.4
chr9_KI270720v1_random	1	39050	31	39050	100	6.07004	34.5	47.8
chr11_KI270721v1_random	1	100316	25	40903	40.7742	1.32819	32.6	8
chr14_GL000009v2_random	1	201709	205	199870	99.0883	8.93632	34.2	40.6
chr14_GL000225v1_random	1	211173	1878	203100	96.1771	72.5435	35	25.8
chr14_KI270722v1_random	1	194050	88	190232	98.0325	4.84865	34.8	56.2
chr14_GL000194v1_random	1	191469	284	190621	99.5571	13.035	35.4	47
chr14_KI270723v1_random	1	38115	54	38002	99.7035	7.99147	34.3	41.1
chr14_KI270724v1_random	1	39555	60	39533	99.9444	5.22826	33.9	37.7
chr14_KI270725v1_random	1	172810	99	171486	99.2338	6.68047	34.7	51.3
chr15_KI270727v1_random	1	448248	120	245784	54.8321	2.4721	34.1	16.7
chr16_KI270728v1_random	1	1872759	459	1076511	57.4826	1.56145	35	23.8
chr17_GL000205v2_random	1	185591	250	146394	78.8799	11.0512	33.6	52.9
chr17_KI270729v1_random	1	280839	560	246619	87.8151	9.56338	34.3	29.8
chr17_KI270730v1_random	1	112551	211	104139	92.5261	8.5549	33	24.6
chr22_KI270731v1_random	1	150754	62	137288	91.0676	3.00845	35.7	20
chr22_KI270732v1_random	1	41543	98	41541	99.9952	18.2531	35.2	51.6
chr22_KI270733v1_random	1	179772	1344	179760	99.9933	44.5207	31.1	19.9
chr22_KI270734v1_random	1	165050	215	146093	88.5144	6.3577	33.8	18.7
chr22_KI270735v1_random	1	42811	79	42810	99.9977	9.82675	33.8	39.2
chr22_KI270736v1_random	1	181920	964	167823	92.251	43.6314	32.9	14.2
chr22_KI270737v1_random	1	103838	52	93829	90.3609	3.44451	31	24.1
chr22_KI270738v1_random	1	99375	64	95532	96.1328	5.67374	35.2	43.4
chr22_KI270739v1_random	1	73985	2	3055	4.12922	0.043644	39.3	5
chrY_KI270740v1_random	1	37240	10	28998	77.8679	1.58193	38.1	47.3
chrUn_KI270303v1	1	1942	2	1688	86.9207	1.10093	37.2	10.5
chrUn_KI270322v1	1	21476	3	1397	6.50494	0.0749674	36.4	22.7
chrUn_KI270320v1	1	4416	7	4407	99.7962	3.12047	36.4	37.6
chrUn_KI270310v1	1	1201	4	1005	83.6803	2.0816	40.9	1.25
chrUn_KI270316v1	1	1444	1	1290	89.3352	0.893352	16.3	1
chrUn_KI270311v1	1	12399	4	2400	19.3564	0.35269	40.7	32
chrUn_KI270317v1	1	37690	1	631	1.67418	0.0167418	37.7	5
chrUn_KI270414v1	1	2489	2	981	39.4134	0.394134	30.1	1
chrUn_KI270418v1	1	2145	2	1629	75.9441	0.950583	32.9	20
