#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
chr1	1	248956422	161552	228863063	91.929	6.63665	34.3	52.7
chr2	1	242193529	150932	238254552	98.3736	6.4817	33.9	57.3
chr3	1	198295559	122339	196019397	98.8521	6.47569	34.1	58.2
chr4	1	190214555	131879	187763715	98.7115	7.11269	34.1	52.7
chr5	1	181538259	111836	177726964	97.9006	6.41652	34.1	57.5
chr6	1	170805979	108767	168693215	98.7631	6.70273	34	57.2
chr7	1	159345973	98386	157744063	98.9947	6.47127	34.1	57
chr8	1	145138636	89402	143479859	98.8571	6.56181	33.9	57.7
chr9	1	138394717	74656	118837495	85.8685	5.67995	34	56.2
chr10	1	133797422	85116	131665159	98.4063	6.59193	34	56.3
chr11	1	135086622	82832	133673358	98.9538	6.40537	33.8	57.6
chr12	1	133275309	82340	132399835	99.3431	6.51817	34	57.6
chr13	1	114364328	61357	96957608	84.7796	5.81746	34.2	56.2
chr14	1	107043718	54164	88080104	82.2842	5.33941	34	58.8
chr15	1	101991189	51831	82830285	81.2132	5.18265	33.9	56.5
chr16	1	90338345	60178	81140300	89.8182	6.72591	33.7	53.2
chr17	1	83257441	52422	80292257	96.4385	6.4722	33.9	54.9
chr18	1	80373285	50369	78820016	98.0674	6.58821	34	55.1
chr19	1	58617616	35684	55490920	94.6659	6.19971	33.8	57.8
chr20	1	64444167	43581	63044594	97.8282	6.87728	33.8	53.2
chr21	1	46709983	28461	37390723	80.0487	6.30971	33.6	50.2
chr22	1	50818468	28365	36507067	71.8382	5.21815	33.9	49.4
chrX	1	156040895	94331	152874635	97.9709	6.36591	34.1	56.8
chrY	1	57227415	1918	812372	1.41955	0.237261	32.8	24.3
chrM	1	16569	822	16569	100	108.631	30.4	57.8
chr1_KI270706v1_random	1	175055	146	174977	99.9554	6.49202	34.6	48.7
chr1_KI270707v1_random	1	32032	23	32032	100	5.52473	35.1	52.3
chr1_KI270708v1_random	1	127682	42	123836	96.9878	3.35573	33.6	45.2
chr1_KI270709v1_random	1	66860	740	66860	100	71.5277	35.5	30.4
chr1_KI270710v1_random	1	40176	15	39396	98.0585	2.09125	29.9	24.5
chr1_KI270711v1_random	1	42210	49	41984	99.4646	7.14326	34.7	42.2
chr1_KI270712v1_random	1	176043	201	175483	99.6819	4.76322	32.3	23.9
chr1_KI270713v1_random	1	40745	56	38305	94.0115	8.94571	33.8	45.9
chr1_KI270714v1_random	1	41717	25	33844	81.1276	3.53707	34.4	42
chr2_KI270715v1_random	1	161471	109	155763	96.465	6.99453	35.9	14.1
chr2_KI270716v1_random	1	153799	214	125638	81.6897	15.6629	37	6.43
chr3_GL000221v1_random	1	155397	238	155043	99.7722	16.38	35.6	19.5
chr4_GL000008v2_random	1	209709	533	209707	99.999	25.0621	32.8	38.6
chr5_GL000208v1_random	1	92689	154	92687	99.9978	15.5131	34.3	48.8
chr9_KI270717v1_random	1	40062	30	34486	86.0816	2.38877	32.9	29.7
chr9_KI270718v1_random	1	38054	47	35997	94.5945	8.49606	35.2	23.9
chr9_KI270719v1_random	1	176845	187	176095	99.5759	11.9961	36	41.4
chr9_KI270720v1_random	1	39050	24	39046	99.9898	5.90725	35	45.6
chr11_KI270721v1_random	1	100316	23	85296	85.0273	2.59041	31.3	22.6
chr14_GL000009v2_random	1	201709	208	201613	99.9524	13.7609	33.7	38.4
chr14_GL000225v1_random	1	211173	2450	211163	99.9953	108.761	34.1	27.9
chr14_KI270722v1_random	1	194050	80	175989	90.6926	4.90945	34.8	45
chr14_GL000194v1_random	1	191469	258	191400	99.964	12.8564	33.2	43
chr14_KI270723v1_random	1	38115	47	33237	87.2019	7.12289	34.1	37.3
chr14_KI270724v1_random	1	39555	41	38786	98.0559	3.79095	34.3	37.2
chr14_KI270725v1_random	1	172810	160	170070	98.4144	10.2083	34.3	51.5
chr14_KI270726v1_random	1	43739	14	40193	91.8928	2.20597	30.2	49.9
chr15_KI270727v1_random	1	448248	70	201601	44.9753	1.41355	34.1	15.2
chr16_KI270728v1_random	1	1872759	176	328707	17.552	0.478553	33	10.8
chr17_GL000205v2_random	1	185591	364	180730	97.3808	20.6627	33	49.5
chr17_KI270729v1_random	1	280839	751	265199	94.431	12.5907	33.4	30
chr17_KI270730v1_random	1	112551	251	107518	95.5282	11.966	32.9	29.4
chr22_KI270731v1_random	1	150754	43	119540	79.2947	1.7529	33.6	17.5
chr22_KI270732v1_random	1	41543	54	41538	99.988	11.8928	33.8	55.3
chr22_KI270733v1_random	1	179772	1574	179025	99.5845	63.7447	30.2	22
chr22_KI270734v1_random	1	165050	172	159980	96.9282	7.72549	34.3	25.3
chr22_KI270735v1_random	1	42811	94	42811	100	15.9216	34.7	44.2
chr22_KI270736v1_random	1	181920	1157	159066	87.4373	59.8427	32.3	14.5
chr22_KI270737v1_random	1	103838	85	103520	99.6938	6.05751	31.4	25.7
chr22_KI270738v1_random	1	99375	114	96319	96.9248	6.8988	33.1	47.5
chr22_KI270739v1_random	1	73985	4	11258	15.2166	0.152166	37.8	23.2
chrUn_KI270302v1	1	2274	1	1069	47.0097	0.470097	34.9	60
chrUn_KI270303v1	1	1942	6	1942	100	4.62358	37.4	3.5
chrUn_KI270320v1	1	4416	4	4408	99.8188	2.72939	38.1	14.5
chrUn_KI270310v1	1	1201	5	1200	99.9167	3.33555	40.1	2
chrUn_KI270316v1	1	1444	1	240	16.6205	0.166205	40.8	1
chrUn_KI270311v1	1	12399	6	2174	17.5337	0.567626	40.3	3.83
chrUn_KI270412v1	1	1179	1	186	15.7761	0.157761	18.2	1
chrUn_KI270411v1	1	2646	1	879	33.22	0.3322	35.5	19
