#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
chr1	1	248956422	134770	224843403	90.3144	4.68267	35.3	53.8
chr2	1	242193529	129130	234349771	96.7614	4.7102	35.1	57.7
chr3	1	198295559	103733	192671758	97.1639	4.64889	35.2	58.3
chr4	1	190214555	106625	185010860	97.2643	5.0906	35.2	53.5
chr5	1	181538259	93339	174453156	96.0972	4.60013	35.1	57.5
chr6	1	170805979	90664	166199355	97.303	4.73004	35.1	57.5
chr7	1	159345973	83916	155276732	97.4463	4.70682	35.1	57
chr8	1	145138636	76072	141109462	97.2239	4.67157	35	57.9
chr9	1	138394717	64199	116454422	84.1466	4.06264	35	56.4
chr10	1	133797422	73770	129648940	96.8994	4.72217	35	56.9
chr11	1	135086622	71740	131384179	97.2592	4.6541	34.9	57.7
chr12	1	133275309	70477	130121431	97.6336	4.70317	35.1	57.7
chr13	1	114364328	51099	94965025	83.0373	4.04769	35.2	56.8
chr14	1	107043718	47055	86441752	80.7537	3.82669	35	58.6
chr15	1	101991189	45057	81291260	79.7042	3.82915	35	56.6
chr16	1	90338345	49330	79650148	88.1687	4.58595	34.8	54.3
chr17	1	83257441	46992	79654021	95.672	4.68524	35	55.2
chr18	1	80373285	41302	76822302	95.5819	4.53072	35.1	56
chr19	1	58617616	33177	54773124	93.4414	4.56737	34.9	57.6
chr20	1	64444167	37961	61737714	95.8003	5.0166	34.9	53.9
chr21	1	46709983	23717	36558370	78.2667	4.35482	34.7	49.6
chr22	1	50818468	25687	35887085	70.6182	3.8293	35	50.3
chrX	1	156040895	41086	131297542	84.143	2.36164	35.1	56.7
chrY	1	57227415	9705	20431351	35.702	1.46932	34.5	32.1
chrM	1	16569	424	16569	100	52.973	31.1	57.4
chr1_KI270706v1_random	1	175055	100	172836	98.7324	5.28123	33.1	48.6
chr1_KI270707v1_random	1	32032	13	29738	92.8384	2.30363	36.1	43.5
chr1_KI270708v1_random	1	127682	26	83649	65.5135	1.75283	33.4	41
chr1_KI270709v1_random	1	66860	585	66860	100	59.2827	36.5	31.5
chr1_KI270710v1_random	1	40176	17	40134	99.8955	3.39247	35.9	37.9
chr1_KI270711v1_random	1	42210	30	41602	98.5596	4.52009	35.8	47.4
chr1_KI270712v1_random	1	176043	105	160544	91.1959	3.49725	34.6	34.7
chr1_KI270713v1_random	1	40745	60	38229	93.825	8.9531	35.4	50.2
chr1_KI270714v1_random	1	41717	25	40931	98.1159	5.97056	32.2	53.5
chr2_KI270715v1_random	1	161471	66	145495	90.106	3.93824	36.9	6.92
chr2_KI270716v1_random	1	153799	155	151757	98.6723	10.9312	36.8	5.04
chr3_GL000221v1_random	1	155397	167	145119	93.386	9.95289	35.8	19.5
chr4_GL000008v2_random	1	209709	347	209468	99.8851	13.8901	34.1	38.5
chr5_GL000208v1_random	1	92689	117	92683	99.9935	8.8298	37	40.4
chr9_KI270717v1_random	1	40062	19	37084	92.5665	2.60042	30.9	31.8
chr9_KI270718v1_random	1	38054	45	33945	89.2022	7.79264	35.6	27
chr9_KI270719v1_random	1	176845	96	157960	89.3212	4.32432	35.7	38.2
chr9_KI270720v1_random	1	39050	31	39050	100	6.07004	34.5	47.8
chr11_KI270721v1_random	1	100316	25	40903	40.7742	1.32819	32.6	8
chr14_GL000009v2_random	1	201709	205	199870	99.0883	8.93632	34.2	40.4
chr14_GL000225v1_random	1	211173	1849	203100	96.1771	71.7069	35	25.3
chr14_KI270722v1_random	1	194050	88	190232	98.0325	4.84865	34.8	56.2
chr14_GL000194v1_random	1	191469	283	190621	99.5571	13.034	35.4	47.1
chr14_KI270723v1_random	1	38115	54	38002	99.7035	7.99147	34.3	41.1
chr14_KI270724v1_random	1	39555	60	39533	99.9444	5.22826	33.9	37.3
chr14_KI270725v1_random	1	172810	99	171486	99.2338	6.68047	34.7	51
chr15_KI270727v1_random	1	448248	120	245784	54.8321	2.4721	34.1	16.7
chr16_KI270728v1_random	1	1872759	456	1076510	57.4826	1.54945	35.2	23.9
chr17_GL000205v2_random	1	185591	250	146394	78.8799	11.1125	33.6	52.9
chr17_KI270729v1_random	1	280839	558	246619	87.8151	9.51151	34.3	29.8
chr17_KI270730v1_random	1	112551	210	104779	93.0947	8.61519	33	24.4
chr22_KI270731v1_random	1	150754	62	137288	91.0676	3.00845	35.7	20
chr22_KI270732v1_random	1	41543	98	41541	99.9952	18.2531	35.2	51.6
chr22_KI270733v1_random	1	179772	1344	179760	99.9933	44.678	31.1	19.9
chr22_KI270734v1_random	1	165050	214	146093	88.5144	6.35741	33.8	18.8
chr22_KI270735v1_random	1	42811	79	42810	99.9977	9.82675	33.8	39.2
chr22_KI270736v1_random	1	181920	960	167823	92.251	43.5201	32.9	14
chr22_KI270737v1_random	1	103838	53	93853	90.3841	3.66906	31.1	24.8
chr22_KI270738v1_random	1	99375	66	95532	96.1328	6.11458	35.1	43.7
chr22_KI270739v1_random	1	73985	2	3055	4.12922	0.043644	39.3	5
chrY_KI270740v1_random	1	37240	10	28998	77.8679	1.58193	38.1	47.3
chrUn_KI270303v1	1	1942	2	1688	86.9207	1.10093	37.2	10.5
chrUn_KI270322v1	1	21476	3	1397	6.50494	0.0749674	36.4	22.7
chrUn_KI270320v1	1	4416	7	4407	99.7962	3.12047	36.4	37.6
chrUn_KI270310v1	1	1201	4	1005	83.6803	2.0816	40.9	1.25
chrUn_KI270316v1	1	1444	1	1290	89.3352	0.893352	16.3	1
chrUn_KI270311v1	1	12399	4	2400	19.3564	0.35269	40.7	32
chrUn_KI270317v1	1	37690	1	631	1.67418	0.0167418	37.7	5
chrUn_KI270414v1	1	2489	2	981	39.4134	0.394134	30.1	1
chrUn_KI270418v1	1	2145	2	1629	75.9441	0.950583	32.9	20
chrUn_KI270424v1	1	2140	3	2138	99.9065	1.23785	36	28.7
chrUn_KI270422v1	1	1445	1	691	47.8201	0.478201	37.8	47
chrUn_KI270442v1	1	392061	579	370781	94.5723	9.73562	34.7	45.3
chrUn_KI270466v1	1	1233	58	1233	100	37.3763	36.4	46.8
chrUn_KI270467v1	1	3920	997	3920	100	724.228	37.9	51.4
chrUn_KI270435v1	1	92983	98	92949	99.9634	9.4976	36.5	45.9
chrUn_KI270438v1	1	112505	3534	80091	71.1888	237.846	32.8	32.3
chrUn_KI270468v1	1	4055	3	4055	100	2.32158	38.6	60
chrUn_KI270510v1	1	2415	9	2415	100	7.57598	35.7	17.9
chrUn_KI270508v1	1	1951	1	842	43.1574	0.431574	39.9	55
