#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
chr1	1	248956422	1118578	229988560	92.3811	25.7811	35.5	53.8
chr2	1	242193529	1107133	239909577	99.057	25.3455	35.2	56.9
chr3	1	198295559	899768	197560197	99.6292	25.51	35.2	58
chr4	1	190214555	931424	189132002	99.4309	27.9738	35.5	53.1
chr5	1	181538259	818030	178760476	98.4699	25.1637	35.2	56.8
chr6	1	170805979	762223	169845697	99.4378	25.3713	35.2	58.2
chr7	1	159345973	710023	158721031	99.6078	25.5441	35.3	56.8
chr8	1	145138636	645488	144435518	99.5156	25.345	35.2	57.5
chr9	1	138394717	535692	120017532	86.7212	22.1507	35.3	55.9
chr10	1	133797422	602245	132227351	98.8265	25.6819	35.4	56.6
chr11	1	135086622	592210	134478520	99.5498	25.1476	35.1	57.5
chr12	1	133275309	596380	133072723	99.848	25.5965	35.3	57.7
chr13	1	114364328	452819	97741639	85.4651	22.3878	35.2	55.7
chr14	1	107043718	388429	88396971	82.5803	20.9719	35.3	58.7
chr15	1	101991189	372610	83987237	82.3475	20.8832	35.4	56
chr16	1	90338345	405778	81687970	90.4245	25.9841	35.6	53.6
chr17	1	83257441	369355	82657642	99.2796	25.7952	35.5	55.3
chr18	1	80373285	353618	79694150	99.155	25.0596	35.3	55.1
chr19	1	58617616	253674	55741111	95.0928	25.5454	35.6	57.3
chr20	1	64444167	308591	63564901	98.6356	27.5565	35.3	52.6
chr21	1	46709983	192228	37738809	80.7939	23.2959	35	50.9
chr22	1	50818468	180131	36985432	72.7795	20.3459	35.4	53.3
chrX	1	156040895	348789	153752461	98.5334	12.6992	35.1	56.6
chrY	1	57227415	89346	23595102	41.2304	8.76318	35.3	29.6
chrM	1	16569	5260	16569	100	896.052	23.9	58.2
chr1_KI270706v1_random	1	175055	935	175055	100	27.3943	34.5	44.8
chr1_KI270707v1_random	1	32032	151	32032	100	22.9302	34.6	44
chr1_KI270708v1_random	1	127682	332	127623	99.9538	13.6952	33.1	49.3
chr1_KI270709v1_random	1	66860	7234	66860	100	563.877	38.9	31.5
chr1_KI270710v1_random	1	40176	227	40176	100	29.5605	33.1	40.4
chr1_KI270711v1_random	1	42210	506	42210	100	60.9427	34.6	45.6
chr1_KI270712v1_random	1	176043	643	175891	99.9137	17.0792	34.3	35.6
chr1_KI270713v1_random	1	40745	368	40745	100	46.4974	34.6	43.2
chr1_KI270714v1_random	1	41717	156	41717	100	21.6727	33.8	44
chr2_KI270715v1_random	1	161471	810	159927	99.0438	30.4599	35.2	8.04
chr2_KI270716v1_random	1	153799	1923	151673	98.6177	84.4952	35.8	6.15
chr3_GL000221v1_random	1	155397	1341	155393	99.9974	53.3344	34.9	21.7
chr4_GL000008v2_random	1	209709	2802	209707	99.999	71.7113	34.4	39
chr5_GL000208v1_random	1	92689	1279	92689	100	64.5935	35.5	41.8
