#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
chr1	1	248956422	1142754	229998861	92.3852	25.7975	35.4	53
chr2	1	242193529	1125152	239903557	99.0545	25.3571	35.2	56.4
chr3	1	198295559	911676	197568132	99.6332	25.5185	35.2	57.6
chr4	1	190214555	943963	189148536	99.4396	27.9832	35.5	52.7
chr5	1	181538259	829794	178768522	98.4743	25.1742	35.2	56.4
chr6	1	170805979	771218	169847888	99.4391	25.3786	35.2	57.9
chr7	1	159345973	721956	158720677	99.6076	25.5687	35.3	56.2
chr8	1	145138636	653952	144437995	99.5173	25.355	35.2	57.1
chr9	1	138394717	544845	120048141	86.7433	22.1595	35.3	55.3
chr10	1	133797422	611365	132220542	98.8214	25.6992	35.4	56.1
chr11	1	135086622	601145	134478625	99.5499	25.1662	35.1	57.1
chr12	1	133275309	605044	133079769	99.8533	25.6102	35.3	57.2
chr13	1	114364328	457545	97728761	85.4539	22.3935	35.2	55.4
chr14	1	107043718	395907	88397648	82.5809	20.9789	35.3	57.9
chr15	1	101991189	378395	83991090	82.3513	20.8996	35.4	55.5
chr16	1	90338345	412500	81693880	90.431	26.0061	35.6	53.2
chr17	1	83257441	376827	82589381	99.1976	25.8191	35.5	54.6
chr18	1	80373285	359286	79749638	99.2241	25.0832	35.3	54.6
chr19	1	58617616	300765	55741908	95.0941	25.5851	35.6	49
chr20	1	64444167	313696	63582276	98.6626	27.572	35.3	52.1
chr21	1	46709983	195621	37739163	80.7946	23.3195	35	50.5
chr22	1	50818468	183052	36983547	72.7758	20.3524	35.4	53
chrX	1	156040895	358390	153778515	98.5501	12.7134	35.1	55.5
chrY	1	57227415	91596	23597318	41.2343	8.78414	35.3	29.2
chrM	1	16569	5326	16569	100	896.304	23.9	58.1
chr1_KI270706v1_random	1	175055	944	175055	100	27.4017	34.5	44.6
chr1_KI270707v1_random	1	32032	156	32032	100	22.9403	34.6	43
chr1_KI270708v1_random	1	127682	337	127623	99.9538	13.8413	33	48.5
chr1_KI270709v1_random	1	66860	7258	66860	100	564.54	38.9	31.5
