#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
chr1	1	248956422	153861	224829865	90.3089	4.68602	35.3	47.5
chr2	1	242193529	135212	234335056	96.7553	4.71249	35.1	55.5
chr3	1	198295559	107457	192666011	97.161	4.65072	35.2	56.6
chr4	1	190214555	111446	185028161	97.2734	5.0928	35.2	51.6
chr5	1	181538259	98224	174473154	96.1082	4.60178	35.1	55
chr6	1	170805979	94325	166203407	97.3054	4.73109	35.1	55.7
chr7	1	159345973	87622	155213078	97.4063	4.70886	35.1	54.9
chr8	1	145138636	77980	141125919	97.2353	4.67242	35	56.8
chr9	1	138394717	69654	116462764	84.1526	4.0643	35	52.3
chr10	1	133797422	76843	129594005	96.8584	4.72482	35	55
chr11	1	135086622	74534	131367465	97.2468	4.65615	34.9	55.9
chr12	1	133275309	72397	130128174	97.6386	4.70543	35.1	56.6
chr13	1	114364328	52842	95003569	83.071	4.04896	35.2	55.3
chr14	1	107043718	48788	86440981	80.753	3.8275	35	56.9
chr15	1	101991189	46106	81285799	79.6988	3.83033	35	55.6
chr16	1	90338345	50573	79626033	88.142	4.58919	34.8	53.4
chr17	1	83257441	48702	79380442	95.3434	4.68801	35	53.7
chr18	1	80373285	42661	76834774	95.5974	4.53374	35.1	54.6
chr19	1	58617616	35894	54774436	93.4436	4.57101	34.9	53.8
chr20	1	64444167	38810	61767723	95.8469	5.01667	34.9	53.2
chr21	1	46709983	24220	36565516	78.282	4.35909	34.7	49
chr22	1	50818468	26248	35857577	70.5601	3.82839	35	49.7
chrX	1	156040895	44339	131334773	84.1669	2.36327	35.1	53
chrY	1	57227415	10032	20430892	35.7012	1.47514	34.5	31.4
chrM	1	16569	431	16569	100	53.069	31.1	57.1
chr1_KI270706v1_random	1	175055	109	172843	98.7364	5.28539	33.1	44.7
chr1_KI270707v1_random	1	32032	13	29738	92.8384	2.30363	36.1	43.5
chr1_KI270708v1_random	1	127682	27	78858	61.7613	1.35016	32	41.7
chr1_KI270709v1_random	1	66860	588	66860	100	59.2431	36.6	31.6
chr1_KI270710v1_random	1	40176	16	40134	99.8955	3.39001	35.9	40.1
chr1_KI270711v1_random	1	42210	31	41602	98.5596	4.52056	35.8	45.8
chr1_KI270712v1_random	1	176043	117	160583	91.2181	3.52034	34.4	31.5
chr1_KI270713v1_random	1	40745	60	38229	93.825	8.9531	35.4	50.2
chr1_KI270714v1_random	1	41717	26	40931	98.1159	5.97123	32.2	51.5
chr2_KI270715v1_random	1	161471	64	140171	86.8088	3.47502	36.9	7.06
chr2_KI270716v1_random	1	153799	159	153714	99.9447	11.3909	36.8	5.33
chr3_GL000221v1_random	1	155397	168	145119	93.386	9.95802	35.8	19.4
chr4_GL000008v2_random	1	209709	356	209468	99.8851	14.0896	34	39.4
chr5_GL000208v1_random	1	92689	118	92683	99.9935	8.74165	37	40.6
chr9_KI270717v1_random	1	40062	20	37084	92.5665	2.60658	30.8	30.5
chr9_KI270718v1_random	1	38054	46	33945	89.2022	7.78412	35.6	28.4
chr9_KI270719v1_random	1	176845	110	157961	89.3217	4.32747	35.7	33.5
chr9_KI270720v1_random	1	39050	32	39050	100	6.0706	34.5	46.4
chr11_KI270721v1_random	1	100316	26	41032	40.9027	1.32948	32.5	7.69
chr14_GL000009v2_random	1	201709	206	199870	99.0883	8.93642	34.2	40.5
chr14_GL000225v1_random	1	211173	1915	203129	96.1908	73.0866	35	26.1
chr14_KI270722v1_random	1	194050	92	190236	98.0345	5.18516	34.8	53.8
chr14_GL000194v1_random	1	191469	284	190621	99.5571	13.0353	35.4	46.9
chr14_KI270723v1_random	1	38115	59	38002	99.7035	8.10904	34.3	38.7
chr14_KI270724v1_random	1	39555	58	39533	99.9444	5.21603	33.9	39.1
chr14_KI270725v1_random	1	172810	99	171486	99.2338	6.68047	34.7	51.3
chr15_KI270727v1_random	1	448248	120	245784	54.8321	2.4721	34.1	16.7
chr16_KI270728v1_random	1	1872759	469	1076674	57.4913	1.56339	35	23.3
chr17_GL000205v2_random	1	185591	256	146423	78.8955	11.0259	33.6	51.9
chr17_KI270729v1_random	1	280839	603	247209	88.0252	9.53568	34.3	29.7
chr17_KI270730v1_random	1	112551	233	105786	93.9894	9.10475	33	24.7
chr22_KI270731v1_random	1	150754	65	137288	91.0676	3.0198	35.7	19.2
chr22_KI270732v1_random	1	41543	98	41541	99.9952	18.2531	35.2	51.6
chr22_KI270733v1_random	1	179772	1355	179760	99.9933	44.4814	31.1	19.8
chr22_KI270734v1_random	1	165050	217	146093	88.5144	6.2793	33.9	18.8
chr22_KI270735v1_random	1	42811	86	42810	99.9977	10.0209	33.9	37
chr22_KI270736v1_random	1	181920	943	167823	92.251	41.5394	32.9	14.6
chr22_KI270737v1_random	1	103838	65	92942	89.5067	3.6905	30.8	21.3
chr22_KI270738v1_random	1	99375	73	92400	92.9811	5.79527	35.5	38.8
chr22_KI270739v1_random	1	73985	3	5964	8.06109	0.0933027	32.4	5
chrY_KI270740v1_random	1	37240	10	28998	77.8679	1.58193	38.1	47.3
chrUn_KI270304v1	1	2165	1	965	44.5727	0.445727	41.5	1
chrUn_KI270303v1	1	1942	1	450	23.172	0.23172	40.5	20
chrUn_KI270322v1	1	21476	3	1397	6.50494	0.0749674	36.4	22.7
chrUn_KI270320v1	1	4416	7	4407	99.7962	3.12047	36.4	37.6
chrUn_KI270310v1	1	1201	5	1005	83.6803	2.34638	39	2
chrUn_KI270316v1	1	1444	1	1290	89.3352	0.893352	16.3	2
chrUn_KI270312v1	1	998	1	266	26.6533	0.266533	33.1	1
chrUn_KI270311v1	1	12399	3	2141	17.2675	0.278571	40.4	42
chrUn_KI270317v1	1	37690	3	3281	8.70523	0.0961528	33.8	2.33
chrUn_KI270414v1	1	2489	1	365	14.6645	0.146645	39.9	1
chrUn_KI270418v1	1	2145	2	1629	75.9441	0.950583	32.9	20
chrUn_KI270424v1	1	2140	3	2138	99.9065	1.23785	36	33.7
chrUn_KI270422v1	1	1445	1	691	47.8201	0.478201	37.8	47
chrUn_KI270442v1	1	392061	625	369952	94.3608	9.96127	34.7	43.3
chrUn_KI270466v1	1	1233	57	1233	100	35.1638	36.4	48.2
chrUn_KI270467v1	1	3920	1022	3920	100	730.066	37.9	50.8
chrUn_KI270435v1	1	92983	100	92949	99.9634	9.70079	36.4	44.8
chrUn_KI270438v1	1	112505	3540	80085	71.1835	237.924	32.8	32.9
