#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
chr1	1	248956422	136053	224828945	90.3086	4.68445	35.3	53.6
chr2	1	242193529	130386	234334418	96.755	4.71184	35.1	57.5
chr3	1	198295559	104594	192665589	97.1608	4.65033	35.2	58.1
chr4	1	190214555	107707	185027663	97.2731	5.09217	35.2	53.3
chr5	1	181538259	94200	174472702	96.108	4.60124	35.1	57.3
chr6	1	170805979	91257	166202741	97.305	4.73065	35.1	57.5
chr7	1	159345973	84698	155212415	97.4059	4.70841	35.1	56.7
chr8	1	145138636	76581	141125342	97.2349	4.67214	35	57.8
chr9	1	138394717	64673	116462453	84.1524	4.06342	35	56.3
chr10	1	133797422	74375	129593669	96.8581	4.72425	35	56.8
chr11	1	135086622	72422	131366880	97.2464	4.65568	34.9	57.5
chr12	1	133275309	71096	130127740	97.6383	4.70514	35.1	57.6
chr13	1	114364328	51502	95003146	83.0706	4.04866	35.2	56.7
chr14	1	107043718	47480	86440695	80.7527	3.82717	35	58.5
chr15	1	101991189	45357	81285549	79.6986	3.83012	35	56.5
chr16	1	90338345	49799	79625633	88.1416	4.58886	34.8	54.2
chr17	1	83257441	47662	79380248	95.3431	4.68757	35	54.9
chr18	1	80373285	41665	76834459	95.597	4.53342	35.1	55.8
chr19	1	58617616	33713	54774311	93.4434	4.56979	34.9	57.2
chr20	1	64444167	38289	61767495	95.8465	5.01641	34.9	53.8
chr21	1	46709983	23972	36565366	78.2817	4.35895	34.7	49.4
chr22	1	50818468	25903	35857365	70.5597	3.82809	35	50.4
chrX	1	156040895	41679	131327969	84.1625	2.3628	35.1	56.3
chrY	1	57227415	9866	20430615	35.7007	1.47505	34.5	31.9
chrM	1	16569	429	16569	100	53.0651	31.1	57.2
chr1_KI270706v1_random	1	175055	103	172843	98.7364	5.28335	33.1	47.2
chr1_KI270707v1_random	1	32032	13	29738	92.8384	2.30363	36.1	43.5
chr1_KI270708v1_random	1	127682	26	78821	61.7323	1.34987	32	43.3
chr1_KI270709v1_random	1	66860	587	66860	100	59.2426	36.6	31.7
chr1_KI270710v1_random	1	40176	16	40134	99.8955	3.39001	35.9	40.1
chr1_KI270711v1_random	1	42210	30	41602	98.5596	4.52009	35.8	47.4
chr1_KI270712v1_random	1	176043	115	160583	91.2181	3.51895	34.4	31.9
chr1_KI270713v1_random	1	40745	60	38229	93.825	8.9531	35.4	50.2
chr1_KI270714v1_random	1	41717	25	40931	98.1159	5.97056	32.2	53.5
chr2_KI270715v1_random	1	161471	64	140171	86.8088	3.47502	36.9	7.06
chr2_KI270716v1_random	1	153799	159	153714	99.9447	11.3909	36.8	5.33
chr3_GL000221v1_random	1	155397	168	145119	93.386	9.95802	35.8	19.4
chr4_GL000008v2_random	1	209709	356	209468	99.8851	14.0896	34	39.4
chr5_GL000208v1_random	1	92689	118	92683	99.9935	8.74165	37	40.6
chr9_KI270717v1_random	1	40062	19	37084	92.5665	2.60042	30.9	31.8
chr9_KI270718v1_random	1	38054	46	33945	89.2022	7.78412	35.6	28.4
chr9_KI270719v1_random	1	176845	96	157960	89.3212	4.32432	35.7	38.2
chr9_KI270720v1_random	1	39050	31	39050	100	6.07004	34.5	47.8
chr11_KI270721v1_random	1	100316	25	40903	40.7742	1.32819	32.6	8
chr14_GL000009v2_random	1	201709	205	199870	99.0883	8.93632	34.2	40.5
chr14_GL000225v1_random	1	211173	1911	203107	96.1804	73.1326	35	26.1
chr14_KI270722v1_random	1	194050	92	190236	98.0345	5.18516	34.8	53.8
chr14_GL000194v1_random	1	191469	282	190621	99.5571	13.0342	35.4	47.2
chr14_KI270723v1_random	1	38115	58	38002	99.7035	8.10767	34.3	39.3
chr14_KI270724v1_random	1	39555	58	39533	99.9444	5.21603	33.9	39.1
chr14_KI270725v1_random	1	172810	99	171486	99.2338	6.68047	34.7	51
chr15_KI270727v1_random	1	448248	120	245784	54.8321	2.4721	34.1	16.7
chr16_KI270728v1_random	1	1872759	463	1076597	57.4872	1.56326	35	23.6
chr17_GL000205v2_random	1	185591	252	146394	78.8799	11.0244	33.6	52.7
chr17_KI270729v1_random	1	280839	602	247209	88.0252	9.5356	34.3	29.7
chr17_KI270730v1_random	1	112551	229	105786	93.9894	9.10258	33	25.1
chr22_KI270731v1_random	1	150754	65	137288	91.0676	3.0198	35.7	19.2
chr22_KI270732v1_random	1	41543	98	41541	99.9952	18.2531	35.2	51.6
chr22_KI270733v1_random	1	179772	1352	179760	99.9933	44.48	31.1	19.8
chr22_KI270734v1_random	1	165050	218	146093	88.5144	6.36388	33.8	19.1
chr22_KI270735v1_random	1	42811	86	42810	99.9977	10.0209	33.9	37
chr22_KI270736v1_random	1	181920	943	167823	92.251	41.5394	32.9	14.6
chr22_KI270737v1_random	1	103838	63	92913	89.4788	3.68981	30.8	21.9
chr22_KI270738v1_random	1	99375	73	92400	92.9811	5.79527	35.5	38.8
chr22_KI270739v1_random	1	73985	3	5964	8.06109	0.0933027	32.4	5
