#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
chr1	1	248956422	1128906	229998569	92.3851	25.796	35.4	53.7
chr2	1	242193529	1117810	239903356	99.0544	25.3559	35.2	56.7
chr3	1	198295559	906699	197567865	99.633	25.5176	35.2	57.9
chr4	1	190214555	939360	189148452	99.4395	27.9823	35.5	52.9
chr5	1	181538259	825120	178768515	98.4743	25.1733	35.2	56.7
chr6	1	170805979	767535	169847811	99.439	25.3778	35.2	58.1
chr7	1	159345973	718082	158720623	99.6076	25.5677	35.3	56.5
chr8	1	145138636	650886	144437984	99.5173	25.354	35.2	57.3
chr9	1	138394717	540038	120047720	86.743	22.1582	35.3	55.8
chr10	1	133797422	608077	132220280	98.8212	25.6981	35.4	56.4
chr11	1	135086622	598028	134478620	99.5499	25.1653	35.1	57.3
chr12	1	133275309	602155	133079710	99.8532	25.6093	35.3	57.5
chr13	1	114364328	455661	97728729	85.4539	22.3929	35.2	55.6
chr14	1	107043718	391800	88397647	82.5809	20.9776	35.3	58.5
chr15	1	101991189	376433	83990155	82.3504	20.8989	35.4	55.8
chr16	1	90338345	410139	81693699	90.4308	26.0047	35.6	53.5
chr17	1	83257441	374613	82589342	99.1976	25.8176	35.5	54.9
chr18	1	80373285	357811	79749560	99.224	25.0824	35.3	54.8
chr19	1	58617616	257563	55741905	95.0941	25.5637	35.6	56.9
chr20	1	64444167	312201	63582271	98.6626	27.5709	35.3	52.3
chr21	1	46709983	194875	37738904	80.7941	23.3186	35	50.7
chr22	1	50818468	181946	36983528	72.7758	20.3512	35.4	53.2
chrX	1	156040895	354754	153778402	98.5501	12.7124	35.1	56
chrY	1	57227415	91087	23597318	41.2343	8.78353	35.3	29.3
chrM	1	16569	5316	16569	100	896.279	23.9	58.2
chr1_KI270706v1_random	1	175055	940	175055	100	27.4005	34.5	44.7
chr1_KI270707v1_random	1	32032	154	32032	100	22.9384	34.6	43.5
chr1_KI270708v1_random	1	127682	336	127623	99.9538	13.841	33	48.6
chr1_KI270709v1_random	1	66860	7251	66860	100	564.532	38.9	31.5
chr1_KI270710v1_random	1	40176	226	40176	100	29.5476	33.1	40.8
chr1_KI270711v1_random	1	42210	507	42210	100	60.9445	34.6	45.6
chr1_KI270712v1_random	1	176043	652	175891	99.9137	17.1343	34.3	35.3
chr1_KI270713v1_random	1	40745	368	40745	100	46.4982	34.6	43.2
chr1_KI270714v1_random	1	41717	158	41717	100	21.6827	33.8	43.5
chr2_KI270715v1_random	1	161471	845	156806	97.1109	30.8686	35.1	8.07
chr2_KI270716v1_random	1	153799	1950	151856	98.7367	83.8893	35.8	6.13
chr3_GL000221v1_random	1	155397	1345	155393	99.9974	53.3371	34.9	21.6
chr4_GL000008v2_random	1	209709	2840	209707	99.999	72.0857	34.4	39.3
chr5_GL000208v1_random	1	92689	1283	92689	100	64.6172	35.5	41.7
chr9_KI270717v1_random	1	40062	170	39305	98.1104	21.5705	35	43
chr9_KI270718v1_random	1	38054	300	38047	99.9816	30.7674	35.3	28.9
chr9_KI270719v1_random	1	176845	578	135683	76.7243	17.0872	33.9	38
chr9_KI270720v1_random	1	39050	250	39050	100	29.246	34.9	50.5
chr11_KI270721v1_random	1	100316	168	92185	91.8946	8.32543	33.3	6.8
chr14_GL000009v2_random	1	201709	2092	201708	99.9995	67.7489	34	43.2
chr14_GL000225v1_random	1	211173	11940	203650	96.4375	360.711	35.3	24.9
chr14_KI270722v1_random	1	194050	1142	194050	100	39.0194	34.2	53.4
chr14_GL000194v1_random	1	191469	2333	191461	99.9958	75.5026	34.5	45.8
chr14_KI270723v1_random	1	38115	430	38115	100	49.8557	34	38
chr14_KI270724v1_random	1	39555	388	39555	100	39.0767	34.2	40.3
chr14_KI270725v1_random	1	172810	417	150124	86.8723	13.6823	33.5	41.9
chr14_KI270726v1_random	1	43739	55	33692	77.0297	7.55438	34.9	53.4
chr15_KI270727v1_random	1	448248	1203	402849	89.8719	15.2671	35	17.9
chr16_KI270728v1_random	1	1872759	3856	1552637	82.9064	10.5834	34.9	22.8
chr17_GL000205v2_random	1	185591	2025	182451	98.3081	68.7679	34.5	49.3
chr17_KI270729v1_random	1	280839	6577	269544	95.9781	82.11	37.1	29.1
chr17_KI270730v1_random	1	112551	1759	109027	96.869	60.1155	36.8	24.9
chr22_KI270731v1_random	1	150754	569	150575	99.8813	18.9684	35.9	24
chr22_KI270732v1_random	1	41543	666	41542	99.9976	83.86	33.7	53.2
chr22_KI270733v1_random	1	179772	7291	179772	100	227.406	31.7	19.9
chr22_KI270734v1_random	1	165050	2216	164603	99.7292	50.1341	35.7	16.7
chr22_KI270735v1_random	1	42811	676	42811	100	67.7554	33.8	44.7
chr22_KI270736v1_random	1	181920	7734	171034	94.0161	256.089	35.8	13.6
chr22_KI270737v1_random	1	103838	578	100238	96.5331	26.9938	36	21.4
chr22_KI270738v1_random	1	99375	772	96351	96.957	39.8897	35.7	46.9
chr22_KI270739v1_random	1	73985	55	47218	63.821	1.59532	35.3	9.69
chrY_KI270740v1_random	1	37240	71	37233	99.9812	12.5396	35.9	55.5
chrUn_KI270304v1	1	2165	6	1996	92.194	1.92379	30.4	2.33
chrUn_KI270303v1	1	1942	7	1941	99.9485	2.04892	36.8	17.4
chrUn_KI270322v1	1	21476	16	4444	20.6929	0.758661	34.5	40.9
chrUn_KI270320v1	1	4416	68	4416	100	39.9108	34.6	29.4
chrUn_KI270310v1	1	1201	23	1201	100	13.2098	33.8	6.78
chrUn_KI270316v1	1	1444	5	1436	99.446	2.59349	33.4	3.6
chrUn_KI270315v1	1	2276	9	2276	100	4.14587	36.5	33.4
chrUn_KI270312v1	1	998	2	794	79.5591	0.795591	31	1
chrUn_KI270311v1	1	12399	32	2964	23.9052	2.2076	35.6	16.2
chrUn_KI270317v1	1	37690	15	2672	7.08941	0.344999	33.1	5.93
chrUn_KI270414v1	1	2489	2	378	15.1868	0.151868	27.7	1
chrUn_KI270419v1	1	1029	5	1027	99.8056	4.20019	36.7	25.8
chrUn_KI270418v1	1	2145	23	2142	99.8601	18.2732	35.6	44.2
chrUn_KI270420v1	1	2321	5	2321	100	2.54675	35.7	43
chrUn_KI270424v1	1	2140	20	2140	100	10.4528	34.7	37
chrUn_KI270417v1	1	2043	5	2043	100	4.41165	32.7	60
chrUn_KI270422v1	1	1445	6	1443	99.8616	4.23114	37.1	17.5
chrUn_KI270423v1	1	981	4	816	83.1804	2.71967	37.3	17.2
chrUn_KI270425v1	1	1884	3	1014	53.8217	0.929936	32.1	40
chrUn_KI270429v1	1	1361	12	1361	100	7.85893	35.5	40.2
chrUn_KI270442v1	1	392061	6324	371645	94.7926	75.9368	35.2	45.5
chrUn_KI270466v1	1	1233	734	1233	100	363.512	31.3	42.9
chrUn_KI270465v1	1	1774	18	1774	100	12.5056	35.3	29.2
chrUn_KI270467v1	1	3920	6820	3920	100	3331.34	31.9	35
chrUn_KI270435v1	1	92983	923	92963	99.9785	47.6036	33.9	43.9
chrUn_KI270438v1	1	112505	44794	84202	74.8429	1900.51	36.8	34.6
chrUn_KI270468v1	1	4055	45	4055	100	29.0414	34.4	58
chrUn_KI270510v1	1	2415	64	2415	100	47.552	35.5	33.8
chrUn_KI270509v1	1	2318	18	2318	100	12.5513	35.4	44.1
chrUn_KI270518v1	1	2186	22	2186	100	14.3614	35.2	22.2
chrUn_KI270508v1	1	1951	21	1951	100	11.6315	35.5	52.9
chrUn_KI270516v1	1	1300	37	1300	100	29.04	32.8	56.9
chrUn_KI270512v1	1	22689	305	22687	99.9912	57.0821	33.9	44.7
chrUn_KI270519v1	1	138126	1964	138103	99.9833	70.7993	34.3	46.5
chrUn_KI270522v1	1	5674	42	5674	100	22.9424	34.1	53.6
chrUn_KI270511v1	1	8127	108	8123	99.9508	55.0651	33.5	50.5
chrUn_KI270515v1	1	6361	101	6361	100	59.8485	33.8	55.2
chrUn_KI270507v1	1	5353	56	5353	100	25.1922	35.6	50.2
chrUn_KI270517v1	1	3253	81	3253	100	52.5687	33.3	53.8
chrUn_KI270529v1	1	1899	31	1899	100	12.1869	34.1	25.3
chrUn_KI270528v1	1	2983	10	2983	100	3.09018	37.4	15.7
chrUn_KI270530v1	1	2168	11	2168	100	6.78967	34	24.3
chrUn_KI270539v1	1	993	1	495	49.8489	0.498489	23.7	23
chrUn_KI270538v1	1	91309	1250	64216	70.3282	58.4778	35.3	47.6
chrUn_KI270544v1	1	1202	8	1201	99.9168	4.62479	36.5	24.5
chrUn_KI270548v1	1	1599	2	728	45.5285	0.647905	36.9	17.5
chrUn_KI270583v1	1	1400	5	1396	99.7143	2.27214	32.8	44.8
chrUn_KI270587v1	1	2969	63	2969	100	40.1637	34.4	54.4
chrUn_KI270580v1	1	1553	10	1552	99.9356	3.92466	33.2	31.9
chrUn_KI270581v1	1	7046	12	5840	82.8839	3.52072	36	8.33
chrUn_KI270579v1	1	31033	109	31030	99.9903	15.8453	34.9	8.95
chrUn_KI270589v1	1	44474	579	35296	79.3632	35.7733	35.6	30.6
chrUn_KI270590v1	1	4685	155	4684	99.9787	87.6623	34.5	42.9
chrUn_KI270584v1	1	4513	54	4513	100	25.9193	34.6	52.3
chrUn_KI270582v1	1	6504	18	6401	98.4164	4.57457	34.2	31.2
chrUn_KI270588v1	1	6158	51	6155	99.9513	18.7304	32.5	42.5
chrUn_KI270593v1	1	3041	13	3041	100	7.45906	33.5	40.8
chrUn_KI270591v1	1	5796	181	5796	100	87.6473	34.2	35
chrUn_KI270330v1	1	1652	44	1652	100	20.1253	34.5	27.5
chrUn_KI270334v1	1	1368	6	1077	78.7281	1.53509	33.3	0.167
chrUn_KI270333v1	1	2699	2326	2699	100	967.246	30.8	19.7
chrUn_KI270335v1	1	1048	5	292	27.8626	0.604008	31.5	12
chrUn_KI270338v1	1	1428	1	114	7.98319	0.0798319	22.1	0
chrUn_KI270340v1	1	1428	10	1208	84.5938	3.2542	28.3	3.1
chrUn_KI270336v1	1	1026	288	1026	100	90.9552	30.1	19.6
chrUn_KI270337v1	1	1121	532	1121	100	195.737	30.3	21.1
chrUn_KI270363v1	1	1803	3	596	33.056	0.54853	26.5	19.3
chrUn_KI270364v1	1	2855	1	2036	71.3135	0.713135	39.1	1
chrUn_KI270362v1	1	3530	5	3065	86.8272	1.90765	28.6	24.4
chrUn_KI270366v1	1	8320	32	8176	98.2692	9.35192	33.9	9
chrUn_KI270390v1	1	2387	2	166	6.95434	0.132803	30.8	1
chrUn_KI270387v1	1	1537	2	837	54.4567	0.710475	37	13
chrUn_KI270395v1	1	1143	4	1142	99.9125	2.78653	34.8	21.2
chrUn_KI270391v1	1	1484	1	332	22.372	0.22372	20.2	1
chrUn_KI270381v1	1	1930	4	1646	85.285	2.37824	37	8.5
chrUn_KI270382v1	1	4215	7	4215	100	4.67829	37.7	47
chrUn_KI270374v1	1	2656	3	2180	82.0783	1.77523	25.9	9.67
chrUn_KI270372v1	1	1650	2	1355	82.1212	0.846061	32.4	10
chrUn_KI270375v1	1	2378	1	141	5.92935	0.0592935	32.6	1
chrUn_KI270371v1	1	2805	4	1222	43.5651	0.538681	32.6	0
chrUn_KI270448v1	1	7992	90	7992	100	39.3442	33.7	55.5
chrUn_KI270521v1	1	7642	47	7642	100	22.4771	34.5	42.9
chrUn_GL000195v1	1	182896	1759	182895	99.9995	59.8846	34.9	38.2
chrUn_GL000219v1	1	179198	2316	179198	100	73.031	35.1	52.6
chrUn_GL000220v1	1	161802	7511	149645	92.4865	344.906	33.1	6.71
chrUn_GL000224v1	1	179693	4095	179693	100	132.639	34.7	39.8
chrUn_KI270741v1	1	157432	528	153492	97.4973	13.7343	34.2	10.7
chrUn_GL000226v1	1	15008	10757	15008	100	4196.33	35.1	4.52
chrUn_GL000213v1	1	164239	224	153625	93.5375	7.55249	34.5	26.3
chrUn_KI270743v1	1	210658	1457	210658	100	39.8186	34.3	45.8
chrUn_KI270744v1	1	168472	2193	168472	100	65.8186	34.3	41.6
chrUn_KI270745v1	1	41891	228	41831	99.8568	25.6277	35.7	39.9
chrUn_KI270746v1	1	66486	848	66486	100	72.147	33.6	53.2
chrUn_KI270747v1	1	198735	644	197604	99.4309	19.8481	35.6	22.8
chrUn_KI270748v1	1	93321	252	92122	98.7152	14.4231	35.4	24.1
chrUn_KI270749v1	1	158759	1102	158758	99.9994	40.6818	32.7	53
chrUn_KI270750v1	1	148850	606	147264	98.9345	21.7744	34	41.7
chrUn_KI270751v1	1	150742	1719	150113	99.5827	63.0108	33.9	34.3
chrUn_KI270753v1	1	62944	192	62728	99.6568	19.3861	35.1	30.8
chrUn_KI270754v1	1	40191	477	40191	100	64.7632	33.9	34.5
chrUn_KI270755v1	1	36723	118	36696	99.9265	15.9216	35.7	34.2
chrUn_KI270756v1	1	79590	725	79590	100	49.0998	37	23.6
chrUn_KI270757v1	1	71251	1452	61851	86.8072	96.1772	34.1	36.7
chrUn_GL000214v1	1	137718	1032	137718	100	45.768	34.6	18.3
chrUn_KI270742v1	1	186739	2280	186739	100	66.0942	34.2	38.1
chrUn_GL000216v2	1	176608	5904	176608	100	162.093	36.6	17.9
chrUn_GL000218v1	1	161147	1264	161147	100	44.2495	34.1	47.7
chrEBV	1	171823	3	704	0.409724	0.00618078	17.6	10.3
chrUn_KI270302v1	1	2274	0	0	0	0	0	0
chrUn_KI270305v1	1	1472	0	0	0	0	0	0
chrUn_KI270412v1	1	1179	0	0	0	0	0	0
chrUn_KI270411v1	1	2646	0	0	0	0	0	0
chrUn_KI270329v1	1	1040	0	0	0	0	0	0
chrUn_KI270378v1	1	1048	0	0	0	0	0	0
chrUn_KI270379v1	1	1045	0	0	0	0	0	0
chrUn_KI270389v1	1	1298	0	0	0	0	0	0
chrUn_KI270396v1	1	1880	0	0	0	0	0	0
chrUn_KI270388v1	1	1216	0	0	0	0	0	0
chrUn_KI270394v1	1	970	0	0	0	0	0	0
chrUn_KI270386v1	1	1788	0	0	0	0	0	0
chrUn_KI270383v1	1	1750	0	0	0	0	0	0
chrUn_KI270393v1	1	1308	0	0	0	0	0	0
chrUn_KI270384v1	1	1658	0	0	0	0	0	0
chrUn_KI270392v1	1	971	0	0	0	0	0	0
chrUn_KI270385v1	1	990	0	0	0	0	0	0
chrUn_KI270376v1	1	1136	0	0	0	0	0	0
chrUn_KI270373v1	1	1451	0	0	0	0	0	0
chrUn_KI270752v1	1	27745	0	0	0	0	0	0
