#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
chr1	1	248956422	182392	228861056	91.9282	6.64399	34.3	47.1
chr2	1	242193529	160105	238292840	98.3894	6.48466	33.9	54.5
chr3	1	198295559	126931	196019984	98.8524	6.47766	34.1	56.4
chr4	1	190214555	137621	187769843	98.7148	7.11504	34.1	50.9
chr5	1	181538259	117436	177713091	97.8929	6.41811	34	55.1
chr6	1	170805979	114566	168689495	98.7609	6.70434	34	54.7
chr7	1	159345973	103150	157713987	98.9758	6.47487	34.1	54.7
chr8	1	145138636	91657	143466310	98.8478	6.56281	33.9	56.6
chr9	1	138394717	80358	118865078	85.8885	5.68191	34	52.5
chr10	1	133797422	88781	131674892	98.4136	6.59411	34	54.3
chr11	1	135086622	86255	133684193	98.9618	6.40795	33.8	55.7
chr12	1	133275309	84960	132401386	99.3443	6.52027	34	56.2
chr13	1	114364328	63559	96959712	84.7814	5.81884	34.2	54.5
chr14	1	107043718	56211	88081411	82.2855	5.34036	33.9	57
chr15	1	101991189	53271	82822126	81.2052	5.18387	33.9	55.4
chr16	1	90338345	61914	81148213	89.827	6.7304	33.7	52.2
chr17	1	83257441	54581	80311390	96.4615	6.47442	33.9	53.1
chr18	1	80373285	52190	78878265	98.1399	6.59267	34	53.5
chr19	1	58617616	39050	55491143	94.6663	6.20342	33.8	53.4
chr20	1	64444167	45010	63014209	97.7811	6.88024	33.8	51.9
chr21	1	46709983	29036	37387042	80.0408	6.31084	33.6	49.5
chr22	1	50818468	29171	36512378	71.8486	5.22177	33.9	48.4
chrX	1	156040895	98066	152906092	97.991	6.3682	34.1	55
chrY	1	57227415	2483	793585	1.38672	0.237602	32.7	19.7
chrM	1	16569	825	16569	100	108.643	30.4	57.9
chr1_KI270706v1_random	1	175055	159	174977	99.9554	6.49988	34.6	45.1
chr1_KI270707v1_random	1	32032	23	32032	100	5.52473	35.1	52.3
chr1_KI270708v1_random	1	127682	43	123826	96.98	3.46933	34	47.8
chr1_KI270709v1_random	1	66860	744	66860	100	71.5396	35.5	30.2
chr1_KI270710v1_random	1	40176	15	39396	98.0585	2.09125	29.9	24.5
chr1_KI270711v1_random	1	42210	50	41984	99.4646	7.14373	34.7	41.3
chr1_KI270712v1_random	1	176043	214	175483	99.6819	4.74894	32.1	23.4
chr1_KI270713v1_random	1	40745	56	38305	94.0115	8.94571	33.8	45.9
chr1_KI270714v1_random	1	41717	29	33844	81.1276	3.53964	34.4	36.3
chr2_KI270715v1_random	1	161471	115	158142	97.9383	7.38207	36	14.9
chr2_KI270716v1_random	1	153799	218	125823	81.81	14.8236	36.9	6.5
chr3_GL000221v1_random	1	155397	238	155043	99.7722	16.38	35.6	19.5
chr4_GL000008v2_random	1	209709	534	209707	99.999	25.0051	32.9	38.9
chr5_GL000208v1_random	1	92689	155	92687	99.9978	15.5257	34.2	49
chr9_KI270717v1_random	1	40062	30	34486	86.0816	2.38877	32.9	29.7
chr9_KI270718v1_random	1	38054	48	35997	94.5945	8.51319	35.3	24
chr9_KI270719v1_random	1	176845	192	176095	99.5759	11.9967	36	40.4
chr9_KI270720v1_random	1	39050	25	39046	99.9898	6.0348	34.8	45.4
chr11_KI270721v1_random	1	100316	24	85296	85.0273	2.59061	31.3	21.7
chr14_GL000009v2_random	1	201709	209	201613	99.9524	13.7617	33.7	38.3
chr14_GL000225v1_random	1	211173	2545	211163	99.9953	110.234	34.1	27.4
chr14_KI270722v1_random	1	194050	78	174498	89.9242	4.93423	34.7	46.3
chr14_GL000194v1_random	1	191469	266	191400	99.964	12.864	33.2	41.7
chr14_KI270723v1_random	1	38115	48	33237	87.2019	7.11903	34.1	37.6
chr14_KI270724v1_random	1	39555	44	38786	98.0559	3.81009	34.3	35.4
chr14_KI270725v1_random	1	172810	162	170070	98.4144	10.2104	34.3	51.7
chr14_KI270726v1_random	1	43739	14	40193	91.8928	2.20597	30.2	49.9
